fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	feature_fraction_bynode	max_depth	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	bagging_freq	num_iterations	estimulos	ganancia	iteracion_bayesiana
20231121 042024	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.205677737760125	0.302504051370895	986	15372	0.184599059772794	42	0.351202475465834	0.625067331403261	0.154879500344396	2	68	11538	141561416.291854	19
20231121 042128	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.179583012880525	0.781183146925119	842	43542	0.148392475129222	49	0.759243748843437	0.356377677380806	0.660643768066075	15	98	11453	155614327.336332	20
20231121 042216	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0456067161327228	0.871416836772289	669	24272	0.678357368305617	36	0.192152799980249	0.782694941089721	0.393655335134827	24	66	12530	148452578.710645	21
20231121 042241	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.153787957358872	0.844758317308559	428	27616	0.232333133976092	26	0.330919591977727	0.074761255516205	0.108459296217188	23	99	11860	142209425.287356	22
20231121 042419	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0675290123049635	0.823110690239642	264	16373	0.349727063001075	19	0.947279237059411	0.146731930022361	0.905618481861893	7	91	12517	159074853.073463	23
20231121 042520	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.191533898508642	0.0777764279403491	947	47342	0.272734179117891	17	0.0261490920209326	0.717934522195719	0.964980284695048	17	51	14669	148098069.465267	24
20231121 042636	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0331951872983482	0.113272502827051	972	5134	0.914083308067697	40	0.618576237477828	0.32792166134459	0.925618694291916	6	89	14020	156277571.214393	25
20231121 042807	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0364635496069677	0.595716147933097	509	25062	0.0523637871916289	36	0.993953563913237	0.434405017481185	0.0510851376049686	10	95	9353	108953467.766117	26
20231121 043045	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.217198477517115	0.57790843771334	194	168	0.29144757120905	7	0.582042069220915	0.250172786955955	0.88055008717929	27	80	11825	143471436.781609	27
20231121 043121	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.243522009035107	0.991853936110449	695	2818	0.254414141985122	11	0.64183101473609	0.902395020925906	0.14927359331632	16	100	11688	150269997.001499	28
20231121 043214	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.211056105594849	0.625457182061742	252	49755	0.712327657110465	32	0.31322846582043	0.985288529080572	0.519070131902117	30	98	13666	155340578.710645	29
20231121 043353	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.230499810983427	0.953147133707884	182	1444	0.8232382124422	12	0.782970629958436	0.966989432793343	0.84154189802357	3	73	10977	148804058.470765	30
20231121 043413	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.2693678171793	0.686169289437821	544	9926	0.957890792376711	48	0.801311074313708	0.0307047874899581	0.0286074914969504	1	91	12706	135768004.997501	31
20231121 043636	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0207043182544876	0.457927754428063	46	3903	0.930295789452211	15	0.402284731867257	0.847518502175808	0.7369220505876	28	72	12381	158419336.831584	32
20231121 043721	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0615414872595575	0.0287446014564484	377	36231	0.673789481320418	46	0.0681878142640926	0.32220506411395	0.179673344467301	25	100	11641	130314459.270365	33
20231121 043838	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0762295490351971	0.166033438678947	81	42499	0.0840242585387314	5	0.464954122516792	0.288993961672531	0.248369273304706	5	100	13784	127393059.470265	34
20231121 043951	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.264868856569985	0.153981753433414	798	30593	0.12542276144051	4	0.256059295410523	0.169217798614409	0.204996540647699	29	61	11905	141460782.108946	35
20231121 044122	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.104047304715728	0.901660486485402	868	6831	0.862217067717691	23	0.238478683371795	0.0767085037077777	0.709816210268764	10	95	10244	156374738.630685	36
20231121 044140	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.272695955255767	0.763610290315875	595	36970	0.994422495536215	38	0.0218440746713895	0.771324880316388	0.00182931641465984	6	1	1001	-5140333.33333333	37
20231121 044323	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.223122627264587	0.24073176102835	1014	13544	0.499590118126653	43	0.967876349069411	0.585625678021461	0.774477647279855	27	95	11107	157893598.70065	38
20231121 044423	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.288901536476566	0.733418669152365	9	40110	0.613854069445049	14	0.830478402570588	0.0103123705019243	0.692206679965602	11	20	14601	135739266.866567	39
20231121 044536	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0494846023782156	0.662535597873619	450	11720	0.0921612803517492	39	0.119034127186751	0.943535710143624	0.577314227842726	4	100	11254	157323149.425287	40
20231121 044732	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0282715837944092	0.285048094213914	438	17285	0.974601034523192	36	0.662360102112194	0.467836456074841	0.824555054866439	20	100	11473	152903952.523738	41
20231121 044948	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.135115189866471	0.478920875384719	494	36318	0.722088291819562	42	0.515727363413581	0.420938181636537	0.523776422559981	7	100	10276	155325571.214393	42
20231121 045158	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.124842257454628	0.556456419291163	269	9389	0.562471854208322	14	0.692538667320095	0.000490260739281765	0.117608007686789	30	73	12543	118951363.818091	43
20231121 045359	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.120567915030246	0.324429016531902	546	17551	0.776870370676335	38	0.743006391501439	0.789933272658653	0.812726826252296	22	92	11486	157676080.95952	44
20231121 045601	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.170860745036846	0.374721852346459	704	41934	0.466922848818627	48	0.788131230210199	0.737364376954162	0.561272573143983	25	100	13259	156728709.145427	45
20231121 045841	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0932981094125521	0.563277809251997	111	21096	0.496926714056053	50	0.833997318933532	0.874728744020609	0.728545906649725	30	98	12114	160385448.275862	46
20231121 050049	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.234976934026607	0.427259227558048	334	21596	0.513147129987345	36	0.752089877724773	0.943643330312993	0.424886661725785	4	100	11937	152283978.510745	47
20231121 050333	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0555229500036883	0.565603086664267	363	6673	0.39510935196412	44	0.960419614965902	0.778871519603688	0.698050793708172	15	45	12038	156345514.242879	48
20231121 050507	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.158239168218738	0.797975924712524	909	23388	0.53573936558487	39	0.920375717461891	0.854169021861166	0.90758293853721	9	100	11894	159156232.883558	49
20231121 050703	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.206420257981453	0.302820283393974	567	28511	0.436720643762301	45	0.996177242655752	0.546159695339527	0.905142190637845	30	98	11331	159261750.624688	50
20231121 050810	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0400095235921561	0.729037176960033	116	18339	0.336595805891862	44	0.311020693773007	0.250974474365337	0.536599055373803	26	97	14092	150744485.757121	51
20231121 051007	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.145672066988662	0.315957344728817	820	30128	0.759447626823841	47	0.813546011031047	0.758330494845858	0.737056342741831	30	98	12204	157321085.457271	52
